elapsed-r	errors-r	ops/sec(inst)-r	ops/sec(cum)-r	p50(ms)-r	p95(ms)-r	p99(ms)-r	pMax(ms)-r	elapsed-w	errors-w	ops/sec(inst)-w	ops/sec(cum)-w	p50(ms)-w	p95(ms)-w	p99(ms)-w	pMax(ms)-w
53.0	0.0	8188.1	5781.3	5.2	15.7	25.2	48.2	53.0	0.0	430.5	301.4	7.9	18.9	26.2	33.6
54.0	0.0	7812.0	5818.9	5.5	16.8	27.3	48.2	54.0	0.0	374.0	302.8	7.9	21.0	32.5	39.8
55.0	0.0	7673.7	5852.4	5.5	17.8	29.4	46.1	55.0	0.0	386.7	304.3	7.6	19.9	31.5	39.8
56.0	0.0	8091.2	5892.5	5.5	15.2	26.2	56.6	56.0	0.0	445.7	306.8	7.6	21.0	39.8	50.3
57.0	0.0	8102.7	5931.4	5.2	15.7	26.2	46.1	57.0	0.0	391.6	308.3	7.6	19.9	28.3	30.4
58.0	0.0	8192.2	5970.3	5.5	15.2	24.1	41.9	58.0	0.0	456.2	310.9	7.3	16.3	24.1	31.5
59.0	0.0	7995.2	6004.5	5.5	16.3	27.3	48.2	59.0	0.0	432.4	312.9	7.9	18.9	29.4	32.5
60.0	0.0	8140.9	6040.1	5.2	15.2	28.3	48.2	60.0	0.0	423.9	314.8	7.3	19.9	30.4	44.0
61.0	0.0	8200.8	6075.7	5.5	15.2	26.2	54.5	61.0	0.0	400.9	316.2	7.1	21.0	30.4	41.9
62.0	0.0	8031.9	6107.1	5.5	15.2	26.2	41.9	62.0	0.0	457.2	318.5	6.8	19.9	39.8	44.0
63.0	0.0	8254.4	6141.2	5.2	15.2	25.2	37.7	63.0	0.0	431.9	320.3	6.8	18.9	28.3	37.7
64.0	0.0	7972.7	6169.9	5.5	16.8	26.2	50.3	64.0	0.0	367.9	321.0	7.1	18.9	27.3	39.8
65.0	0.0	8224.2	6201.4	5.5	14.2	26.2	39.8	65.0	0.0	434.4	322.7	7.3	19.9	29.4	31.5
66.0	0.0	7473.3	6220.9	5.2	18.9	37.7	104.9	66.0	0.0	401.2	323.9	7.1	21.0	39.8	65.0
67.0	0.0	8125.2	6249.2	5.5	15.7	25.2	44.0	67.0	0.0	410.5	325.2	7.6	18.9	27.3	39.8
68.0	0.0	8028.5	6275.3	5.5	15.7	27.3	41.9	68.0	0.0	420.0	326.6	6.8	18.9	30.4	35.7
69.0	0.0	7792.9	6297.3	5.5	16.8	28.3	41.9	69.0	0.0	437.1	328.2	7.3	22.0	37.7	46.1
70.0	0.0	8019.8	6321.9	5.5	15.7	24.1	39.8	70.0	0.0	391.1	329.1	7.3	21.0	28.3	35.7
71.0	0.0	8084.7	6346.7	5.2	16.3	28.3	52.4	71.0	0.0	407.1	330.2	7.1	24.1	33.6	44.0
72.0	0.0	8148.1	6371.8	5.2	16.3	25.2	44.0	72.0	0.0	457.6	332.0	6.6	16.3	33.6	50.3
73.0	0.0	8228.0	6397.2	5.2	15.7	26.2	46.1	73.0	0.0	399.2	332.9	7.1	17.8	31.5	46.1
74.0	0.0	8133.6	6420.6	5.2	16.3	25.2	37.7	74.0	0.0	433.2	334.3	7.3	18.9	35.7	39.8
75.0	0.0	7980.0	6441.4	5.5	15.7	28.3	52.4	75.0	0.0	403.1	335.2	6.6	18.9	29.4	37.7
76.0	0.0	8159.1	6464.0	5.2	16.3	26.2	52.4	76.0	0.0	386.8	335.9	7.3	19.9	27.3	39.8
77.0	0.0	8258.3	6487.3	5.2	15.7	26.2	41.9	77.0	0.0	416.9	336.9	6.3	17.8	28.3	44.0
78.0	0.0	8081.8	6507.8	5.5	15.2	24.1	41.9	78.0	0.0	461.8	338.5	7.3	19.9	29.4	35.7
79.0	0.0	8154.1	6528.6	5.2	15.7	26.2	46.1	79.0	0.0	449.3	339.9	6.6	22.0	30.4	33.6
80.0	0.0	8511.9	6553.4	5.2	14.7	24.1	52.4	80.0	0.0	428.0	341.0	6.0	17.8	28.3	35.7
81.0	0.0	8819.9	6581.3	5.2	12.6	22.0	46.1	81.0	0.0	473.2	342.6	6.6	15.7	26.2	46.1
82.0	0.0	8053.0	6599.4	5.2	17.8	30.4	46.1	82.0	0.0	391.7	343.2	7.1	15.7	33.6	44.0
83.0	0.0	8372.5	6620.6	5.2	15.2	26.2	39.8	83.0	0.0	425.5	344.2	6.8	19.9	28.3	32.5
84.0	0.0	8285.4	6640.5	5.5	14.7	25.2	44.0	84.0	0.0	415.6	345.1	6.8	17.8	30.4	35.7
85.0	0.0	7979.1	6656.2	5.2	16.3	28.3	52.4	85.0	0.0	419.2	346.0	6.8	18.9	28.3	33.6
86.0	0.0	7808.9	6669.8	5.2	17.8	31.5	113.2	86.0	0.0	392.3	346.5	7.1	18.9	27.3	29.4
87.0	0.0	8250.5	6687.9	5.5	14.2	24.1	41.9	87.0	0.0	433.5	347.5	7.1	17.8	26.2	39.8
88.0	0.0	8350.1	6706.7	5.2	15.2	24.1	46.1	88.0	0.0	403.3	348.1	7.1	16.3	25.2	44.0
89.0	0.0	8755.4	6729.7	5.2	12.6	22.0	44.0	89.0	0.0	480.0	349.6	6.8	14.2	29.4	39.8
90.0	0.0	8362.5	6748.1	5.2	15.2	24.1	37.7	90.0	0.0	455.9	350.8	7.1	17.8	27.3	33.6
91.0	0.0	8253.3	6764.5	5.2	15.2	25.2	44.0	91.0	0.0	423.5	351.6	6.6	18.9	30.4	44.0
92.0	0.0	8320.2	6781.3	5.2	14.7	24.1	48.2	92.0	0.0	443.4	352.6	6.6	16.8	29.4	37.7
93.0	0.0	8251.4	6797.1	5.2	15.7	27.3	50.3	93.0	0.0	442.2	353.5	6.6	17.8	30.4	37.7
94.0	0.0	8209.5	6812.4	5.5	15.2	23.1	44.0	94.0	0.0	449.4	354.6	7.1	18.9	26.2	31.5
95.0	0.0	8248.0	6827.3	5.5	14.7	24.1	39.8	95.0	0.0	424.2	355.3	6.8	18.9	27.3	37.7
96.0	0.0	8175.7	6841.4	5.2	15.2	26.2	46.1	96.0	0.0	432.9	356.1	6.6	22.0	30.4	32.5
97.0	0.0	8418.3	6857.5	5.5	14.7	23.1	37.7	97.0	0.0	411.3	356.7	6.3	16.8	23.1	37.7
98.0	0.0	8028.5	6869.5	5.2	15.7	25.2	41.9	98.0	0.0	425.0	357.4	7.1	19.9	28.3	33.6
99.0	0.0	8127.2	6882.3	5.2	16.3	27.3	46.1	99.0	0.0	402.3	357.8	7.1	21.0	28.3	35.7
100.0	0.0	8136.2	6894.7	5.5	15.2	25.2	37.7	100.0	0.0	431.9	358.6	6.8	16.8	24.1	35.7
101.0	0.0	8349.4	6909.2	5.2	15.2	26.2	37.7	101.0	0.0	438.8	359.4	6.8	18.9	27.3	32.5
102.0	0.0	8305.3	6922.8	5.2	15.2	25.2	37.7	102.0	0.0	444.2	360.2	7.1	18.9	26.2	35.7
103.0	0.0	8414.3	6937.5	5.2	14.2	25.2	50.3	103.0	0.0	456.8	361.1	6.8	19.9	35.7	41.9
104.0	0.0	8846.6	6955.6	5.2	12.6	23.1	37.7	104.0	0.0	457.0	362.1	6.8	14.7	22.0	39.8
105.0	0.0	8069.2	6966.2	5.5	15.7	27.3	48.2	105.0	0.0	405.2	362.5	6.6	18.9	31.5	37.7
106.0	0.0	8458.4	6980.5	5.2	14.2	24.1	41.9	106.0	0.0	462.8	363.4	7.1	18.9	27.3	35.7
107.0	0.0	8075.1	6990.6	5.2	16.3	26.2	48.2	107.0	0.0	442.9	364.2	7.1	15.7	28.3	32.5
108.0	0.0	8012.4	7000.3	5.2	16.8	28.3	65.0	108.0	0.0	450.7	365.0	6.6	19.9	28.3	39.8
109.0	0.0	8208.1	7011.2	5.5	15.2	24.1	41.9	109.0	0.0	443.0	365.7	6.8	17.8	27.3	31.5
110.0	0.0	8463.6	7024.4	5.2	14.7	25.2	44.0	110.0	0.0	397.1	366.0	6.8	16.8	24.1	32.5
111.0	0.0	8156.4	7034.5	5.2	15.2	26.2	50.3	111.0	0.0	414.2	366.4	7.1	15.7	29.4	52.4
112.0	0.0	8629.8	7048.8	5.2	13.1	23.1	39.8	112.0	0.0	484.9	367.5	6.6	16.3	25.2	52.4
113.0	0.0	8449.6	7061.2	5.2	15.2	27.3	52.4	113.0	0.0	413.9	367.9	6.3	14.7	21.0	46.1
114.0	0.0	8270.8	7071.8	5.2	15.2	25.2	44.0	114.0	0.0	430.0	368.4	7.1	16.8	25.2	39.8
115.0	0.0	7871.2	7078.8	5.5	17.8	27.3	41.9	115.0	0.0	387.5	368.6	6.8	17.8	29.4	35.7
116.0	0.0	8199.8	7088.5	5.5	15.2	26.2	44.0	116.0	0.0	431.1	369.1	6.6	17.8	28.3	33.6
117.0	0.0	8038.3	7096.5	5.2	15.2	29.4	52.4	117.0	0.0	445.6	369.8	6.8	16.8	25.2	46.1
118.0	0.0	8265.4	7106.4	5.5	14.7	24.1	44.0	118.0	0.0	451.2	370.5	6.8	16.8	29.4	39.8
119.0	0.0	8214.6	7115.7	5.2	15.2	25.2	50.3	119.0	0.0	401.0	370.7	6.8	18.9	27.3	35.7
120.0	0.0	7984.0	7123.0	5.5	15.7	27.3	46.1	120.0	0.0	412.4	371.1	6.6	21.0	28.3	33.6
121.0	0.0	8501.7	7134.4	5.2	14.2	23.1	41.9	121.0	0.0	454.3	371.8	6.6	16.8	27.3	41.9
122.0	0.0	8194.1	7143.2	5.2	15.2	27.3	48.2	122.0	0.0	452.0	372.4	7.3	15.7	28.3	37.7
123.0	0.0	8434.5	7153.5	5.2	14.7	24.1	44.0	123.0	0.0	419.1	372.8	6.6	16.8	24.1	32.5
124.0	0.0	8262.8	7162.5	5.2	16.3	25.2	52.4	124.0	0.0	412.1	373.1	6.6	16.8	22.0	25.2
125.0	0.0	8185.2	7170.7	5.5	15.2	25.2	35.7	125.0	0.0	440.8	373.6	7.1	18.9	27.3	33.6
126.0	0.0	8122.1	7178.3	5.2	15.7	28.3	54.5	126.0	0.0	393.5	373.8	6.6	17.8	31.5	50.3
127.0	0.0	8440.9	7188.2	5.2	14.7	25.2	44.0	127.0	0.0	447.4	374.4	6.6	19.9	32.5	39.8
128.0	0.0	8628.9	7199.4	5.2	13.6	24.1	41.9	128.0	0.0	440.3	374.9	6.8	13.6	31.5	44.0
129.0	0.0	8165.3	7206.9	5.2	16.3	28.3	54.5	129.0	0.0	437.7	375.4	6.3	22.0	35.7	41.9
130.0	0.0	8255.1	7214.9	5.5	14.7	24.1	41.9	130.0	0.0	441.3	375.9	6.8	17.8	26.2	29.4
131.0	0.0	8187.3	7222.5	5.2	15.7	26.2	37.7	131.0	0.0	420.3	376.2	7.1	21.0	30.4	37.7
132.0	0.0	8175.0	7229.6	5.2	15.7	26.2	65.0	132.0	0.0	417.8	376.5	6.8	18.9	30.4	46.1
133.0	0.0	8198.0	7236.9	5.2	14.7	27.3	65.0	133.0	0.0	446.9	377.1	6.6	18.9	31.5	46.1
134.0	0.0	8613.6	7247.2	5.2	14.2	24.1	44.0	134.0	0.0	445.8	377.6	6.8	15.2	32.5	41.9
135.0	0.0	8090.0	7253.5	5.2	16.3	28.3	65.0	135.0	0.0	399.4	377.8	7.1	18.9	35.7	52.4
136.0	0.0	8209.1	7260.5	5.2	15.7	27.3	44.0	136.0	0.0	456.1	378.3	6.3	16.8	26.2	37.7
137.0	0.0	8254.8	7267.7	5.2	14.7	27.3	41.9	137.0	0.0	436.5	378.8	6.8	17.8	30.4	39.8
138.0	0.0	8058.6	7273.4	5.2	15.2	26.2	46.1	138.0	0.0	448.3	379.3	6.3	21.0	30.4	33.6
139.0	0.0	7996.8	7278.6	5.5	16.3	27.3	48.2	139.0	0.0	417.9	379.5	6.8	18.9	29.4	35.7
140.0	0.0	8224.8	7285.4	5.2	15.2	25.2	39.8	140.0	0.0	448.4	380.0	6.6	17.8	30.4	33.6
141.0	0.0	8017.4	7290.6	5.2	16.8	26.2	60.8	141.0	0.0	399.6	380.2	7.1	22.0	30.4	39.8
142.0	0.0	8408.1	7298.4	5.2	14.2	25.2	52.4	142.0	0.0	467.1	380.8	6.8	17.8	30.4	52.4
143.0	0.0	8238.4	7305.0	5.2	15.2	24.1	39.8	143.0	0.0	451.6	381.3	6.8	16.8	28.3	37.7
144.0	0.0	8404.5	7312.7	5.5	14.2	25.2	41.9	144.0	0.0	427.8	381.6	7.1	17.8	27.3	44.0
145.0	0.0	8434.7	7320.4	5.2	14.2	24.1	37.7	145.0	0.0	453.0	382.1	7.3	15.7	28.3	39.8
146.0	0.0	8805.5	7330.6	5.2	12.1	19.9	31.5	146.0	0.0	443.4	382.5	6.8	15.2	29.4	44.0
147.0	0.0	8377.0	7337.7	5.2	14.7	23.1	44.0	147.0	0.0	492.7	383.3	7.1	17.8	28.3	48.2
148.0	0.0	7893.9	7341.4	5.2	16.3	30.4	60.8	148.0	0.0	428.1	383.6	7.1	17.8	28.3	39.8
149.0	0.0	8460.2	7349.0	5.5	13.6	23.1	37.7	149.0	0.0	445.0	384.0	7.1	15.7	24.1	27.3
150.0	0.0	8312.0	7355.4	5.2	14.7	24.1	35.7	150.0	0.0	441.1	384.4	7.6	17.8	27.3	33.6
151.0	0.0	8234.7	7361.2	5.2	15.7	28.3	58.7	151.0	0.0	393.1	384.4	6.8	22.0	27.3	39.8
152.0	0.0	7843.9	7364.4	5.5	16.3	27.3	54.5	152.0	0.0	419.8	384.6	7.1	19.9	31.5	44.0
153.0	0.0	7746.8	7366.9	5.5	16.3	27.3	58.7	153.0	0.0	455.3	385.1	6.8	19.9	37.7	58.7
154.0	0.0	7849.5	7370.0	5.2	16.3	35.7	109.1	154.0	0.0	404.1	385.2	6.6	19.9	41.9	48.2
155.0	0.0	8292.7	7376.0	5.5	14.2	26.2	52.4	155.0	0.0	453.5	385.7	6.8	19.9	31.5	44.0
156.0	0.0	8469.2	7383.0	5.2	14.7	24.1	41.9	156.0	0.0	415.2	385.9	6.8	19.9	28.3	35.7
157.0	0.0	8229.0	7388.3	5.2	15.2	26.2	44.0	157.0	0.0	442.1	386.2	6.6	17.8	29.4	39.8
158.0	0.0	8096.3	7392.8	5.2	15.7	25.2	44.0	158.0	0.0	429.0	386.5	7.3	19.9	28.3	33.6
159.0	0.0	7899.3	7396.0	5.5	16.3	26.2	54.5	159.0	0.0	377.9	386.4	6.8	22.0	28.3	35.7
160.0	0.0	8407.0	7402.3	5.2	14.2	26.2	44.0	160.0	0.0	442.1	386.8	6.6	17.8	26.2	39.8
161.0	0.0	8314.1	7408.0	5.5	14.7	24.1	44.0	161.0	0.0	444.0	387.1	7.1	15.2	27.3	41.9
162.0	0.0	8566.5	7415.1	5.2	13.6	23.1	46.1	162.0	0.0	436.3	387.4	7.1	15.7	27.3	35.7
163.0	0.0	8201.9	7420.0	5.2	15.2	29.4	60.8	163.0	0.0	415.5	387.6	7.3	16.8	37.7	54.5
164.0	0.0	7994.5	7423.5	5.5	15.7	25.2	44.0	164.0	0.0	427.9	387.9	6.6	18.9	28.3	33.6
165.0	0.0	8276.7	7428.6	5.2	15.7	26.2	52.4	165.0	0.0	397.4	387.9	7.1	17.8	25.2	32.5
166.0	0.0	8097.6	7432.7	5.2	15.7	25.2	39.8	166.0	0.0	440.0	388.2	7.1	16.8	28.3	32.5
167.0	0.0	8114.2	7436.8	5.5	15.2	26.2	54.5	167.0	0.0	429.0	388.5	7.1	18.9	27.3	29.4
168.0	0.0	7832.9	7439.2	5.5	17.8	27.3	44.0	168.0	0.0	405.6	388.6	7.1	17.8	27.3	35.7
169.0	0.0	8850.0	7447.5	5.2	13.1	22.0	39.8	169.0	0.0	472.3	389.1	6.3	13.1	23.1	32.5
170.0	0.0	8288.7	7452.4	5.2	15.7	25.2	60.8	170.0	0.0	411.4	389.2	6.8	17.8	25.2	35.7
171.0	0.0	8263.6	7457.1	5.5	14.7	24.1	44.0	171.0	0.0	441.9	389.5	7.3	17.8	26.2	29.4
172.0	0.0	7956.7	7460.1	5.2	16.3	29.4	83.9	172.0	0.0	387.9	389.5	6.0	18.9	29.4	48.2
173.0	0.0	7893.1	7462.6	5.5	15.7	30.4	67.1	173.0	0.0	401.1	389.6	6.3	18.9	27.3	37.7
174.0	0.0	8175.5	7466.6	5.5	14.7	26.2	46.1	174.0	0.0	472.1	390.0	7.3	18.9	28.3	33.6
175.0	0.0	8146.4	7470.5	5.5	15.2	26.2	37.7	175.0	0.0	424.8	390.2	6.6	19.9	26.2	32.5
176.0	0.0	8616.1	7477.1	5.5	13.1	19.9	41.9	176.0	0.0	432.7	390.5	7.1	13.1	23.1	33.6
177.0	0.0	8522.5	7483.0	5.2	14.2	24.1	44.0	177.0	0.0	448.2	390.8	7.3	16.8	30.4	50.3
178.0	0.0	8054.1	7486.2	5.5	15.7	27.3	46.1	178.0	0.0	407.2	390.9	6.6	16.8	25.2	33.6
179.0	0.0	8432.6	7491.5	5.5	14.7	22.0	37.7	179.0	0.0	412.0	391.0	7.1	15.7	24.1	39.8
180.0	0.0	8399.2	7496.5	5.5	14.7	23.1	37.7	180.0	0.0	431.6	391.2	6.8	19.9	28.3	39.8
181.0	0.0	8334.4	7501.1	5.2	14.7	23.1	41.9	181.0	0.0	427.2	391.4	7.6	19.9	32.5	39.8
182.0	0.0	8379.8	7505.9	5.2	14.7	23.1	39.8	182.0	0.0	466.4	391.9	7.1	16.8	23.1	48.2
183.0	0.0	8209.3	7509.8	5.5	14.7	23.1	37.7	183.0	0.0	470.4	392.3	7.1	16.8	27.3	33.6
184.0	0.0	8161.3	7513.3	5.2	15.7	28.3	48.2	184.0	0.0	459.3	392.6	6.8	17.8	35.7	46.1
185.0	0.0	8418.3	7518.2	5.2	14.7	25.2	44.0	185.0	0.0	499.2	393.2	6.8	16.3	29.4	48.2
186.0	0.0	8328.9	7522.6	5.2	14.7	25.2	48.2	186.0	0.0	460.4	393.6	6.6	15.7	29.4	35.7
187.0	0.0	7860.3	7524.5	5.5	16.3	29.4	52.4	187.0	0.0	416.7	393.7	7.1	21.0	29.4	37.7
188.0	0.0	8359.5	7528.8	5.5	14.2	22.0	39.8	188.0	0.0	438.6	393.9	6.6	17.8	25.2	39.8
189.0	0.0	8319.7	7533.0	5.2	15.2	23.1	37.7	189.0	0.0	453.7	394.3	6.8	17.8	29.4	37.7
190.0	0.0	8506.0	7538.1	5.2	13.6	22.0	37.7	190.0	0.0	433.4	394.5	6.8	17.8	24.1	37.7
191.0	0.0	8233.3	7541.8	5.2	16.3	26.2	41.9	191.0	0.0	408.8	394.5	6.6	15.7	26.2	32.5
192.0	0.0	8467.9	7546.6	5.2	13.6	24.1	44.0	192.0	0.0	463.4	394.9	7.1	17.8	30.4	41.9
193.0	0.0	8612.5	7552.1	5.2	14.2	22.0	39.8	193.0	0.0	464.8	395.3	6.8	16.8	23.1	39.8
194.0	0.0	7886.5	7553.8	5.5	16.3	27.3	46.1	194.0	0.0	422.1	395.4	6.8	16.8	28.3	33.6
195.0	0.0	8183.9	7557.1	5.5	15.2	25.2	44.0	195.0	0.0	439.5	395.6	7.3	18.9	35.7	41.9
196.0	0.0	8252.4	7560.6	5.2	15.2	25.2	48.2	196.0	0.0	422.5	395.8	6.8	18.9	28.3	37.7
197.0	0.0	8257.5	7564.2	5.2	15.2	27.3	44.0	197.0	0.0	410.8	395.8	7.3	16.8	29.4	39.8
198.0	0.0	8759.9	7570.2	5.2	13.1	23.1	46.1	198.0	0.0	431.1	396.0	6.6	15.7	28.3	37.7
199.0	0.0	8015.7	7572.5	5.2	16.8	29.4	46.1	199.0	0.0	420.7	396.1	7.6	16.8	28.3	41.9
200.0	0.0	8381.4	7576.5	5.2	14.7	24.1	48.2	200.0	0.0	416.3	396.2	6.8	16.8	26.2	37.7
201.0	0.0	8066.2	7579.0	5.5	15.7	25.2	41.9	201.0	0.0	448.5	396.5	6.8	17.8	24.1	39.8
202.0	0.0	8414.5	7583.0	5.2	15.2	25.2	41.9	202.0	0.0	418.5	396.6	6.3	15.7	24.1	31.5
203.0	0.0	8268.8	7586.5	5.5	14.7	24.1	41.9	203.0	0.0	452.6	396.9	6.3	14.7	24.1	27.3
204.0	0.0	8187.1	7589.4	5.2	15.2	27.3	44.0	204.0	0.0	406.3	396.9	6.8	16.8	27.3	35.7
205.0	0.0	8282.2	7592.8	5.2	15.2	25.2	56.6	205.0	0.0	392.0	396.9	7.3	17.8	33.6	46.1
206.0	0.0	8585.2	7597.6	5.2	12.6	23.1	48.2	206.0	0.0	481.1	397.3	7.3	15.7	26.2	44.0
207.0	0.0	7825.7	7598.7	5.2	16.8	32.5	92.3	207.0	0.0	432.9	397.5	6.8	18.9	37.7	71.3
