9561, avg(latency)=2243.370817, med(latency)=2243.370817, p99(latency)=2243.370817
7186, avg(latency)=2243.370817, med(latency)=2243.370817, p99(latency)=2243.370817
1102, avg(latency)=2243.370817, med(latency)=2243.370817, p99(latency)=2243.370817
957285965987942, avg(latency)=2243.370817, med(latency)=2243.370817, p99(latency)=2243.370817
133, avg(latency)=1542.1307129999998, med(latency)=2207.701532, p99(latency)=215.5609484916
1697816474, avg(latency)=2243.370817, med(latency)=2243.370817, p99(latency)=2243.370817
32, avg(latency)=5257.845683999999, med(latency)=4418.2898945, p99(latency)=1982.8268806612002
1454805, avg(latency)=2243.370817, med(latency)=2243.370817, p99(latency)=2243.370817
883, avg(latency)=2350.7201379999997, med(latency)=2350.7201379999997, p99(latency)=2350.7201379999997
17768820801575, avg(latency)=2350.7201379999997, med(latency)=2350.7201379999997, p99(latency)=2350.7201379999997
104, avg(latency)=11568.403482666667, med(latency)=2507.4635949999997, p99(latency)=2353.8236584485994
72756857, avg(latency)=2350.7201379999997, med(latency)=2350.7201379999997, p99(latency)=2350.7201379999997
27, avg(latency)=7177.7786740833335, med(latency)=4755.042259, p99(latency)=150.3875165912
1177692, avg(latency)=2350.7201379999997, med(latency)=2350.7201379999997, p99(latency)=2350.7201379999997
38437, avg(latency)=2350.7201379999997, med(latency)=2350.7201379999997, p99(latency)=2350.7201379999997
1054, avg(latency)=2350.7201379999997, med(latency)=2350.7201379999997, p99(latency)=2350.7201379999997
87671455222265, avg(latency)=2350.7201379999997, med(latency)=2350.7201379999997, p99(latency)=2350.7201379999997
180, avg(latency)=2350.7201379999997, med(latency)=2350.7201379999997, p99(latency)=2350.7201379999997
848066989, avg(latency)=2350.7201379999997, med(latency)=2350.7201379999997, p99(latency)=2350.7201379999997
28, avg(latency)=5476.802351928572, med(latency)=3863.763094, p99(latency)=718.206963762
1111555, avg(latency)=2350.7201379999997, med(latency)=2350.7201379999997, p99(latency)=2350.7201379999997
1975, avg(latency)=2350.7201379999997, med(latency)=2350.7201379999997, p99(latency)=2350.7201379999997
8163, avg(latency)=1349.6065669999998, med(latency)=1349.6065669999998, p99(latency)=1349.6065669999998
399547780966827, avg(latency)=1349.6065669999998, med(latency)=1349.6065669999998, p99(latency)=1349.6065669999998
1812466043, avg(latency)=1349.6065669999998, med(latency)=1349.6065669999998, p99(latency)=1349.6065669999998
1951099, avg(latency)=1349.6065669999998, med(latency)=1349.6065669999998, p99(latency)=1349.6065669999998
71620, avg(latency)=1349.6065669999998, med(latency)=1349.6065669999998, p99(latency)=1349.6065669999998
353, avg(latency)=1349.6065669999998, med(latency)=1349.6065669999998, p99(latency)=1349.6065669999998
12439807463, avg(latency)=1349.6065669999998, med(latency)=1349.6065669999998, p99(latency)=1349.6065669999998
49, avg(latency)=6478.812178124999, med(latency)=4794.212745, p99(latency)=1389.2866347349998
5951866, avg(latency)=1349.6065669999998, med(latency)=1349.6065669999998, p99(latency)=1349.6065669999998
423, avg(latency)=3617.9529715, med(latency)=3223.5034975, p99(latency)=1708.6414129071002
99275425091, avg(latency)=2678.124365, med(latency)=2678.124365, p99(latency)=2678.124365
57, avg(latency)=1710.0093033333335, med(latency)=2416.139823, p99(latency)=82.89516879979999
9775076, avg(latency)=2678.124365, med(latency)=2678.124365, p99(latency)=2678.124365
18, avg(latency)=8550.26648075, med(latency)=4881.21506, p99(latency)=1682.2150481940002
256065, avg(latency)=2678.124365, med(latency)=2678.124365, p99(latency)=2678.124365
36569, avg(latency)=2678.124365, med(latency)=2678.124365, p99(latency)=2678.124365
22379, avg(latency)=2678.124365, med(latency)=2678.124365, p99(latency)=2678.124365
1432, avg(latency)=2678.124365, med(latency)=2678.124365, p99(latency)=2678.124365
58451216052044696, avg(latency)=2678.124365, med(latency)=2678.124365, p99(latency)=2678.124365
290, avg(latency)=8975.872206333333, med(latency)=12124.746127, p99(latency)=2865.1674758875997
2969306717, avg(latency)=2678.124365, med(latency)=2678.124365, p99(latency)=2678.124365
70128, avg(latency)=2678.124365, med(latency)=2678.124365, p99(latency)=2678.124365
246, avg(latency)=2751.0456740000004, med(latency)=2751.0456740000004, p99(latency)=2751.0456740000004
666, avg(latency)=2751.0456740000004, med(latency)=2751.0456740000004, p99(latency)=2751.0456740000004
1129, avg(latency)=2751.0456740000004, med(latency)=2751.0456740000004, p99(latency)=2751.0456740000004
