/Table/11/{1-2}, total_accesses=0, bumped_read=0, avg(spanlatch_wait)=0.015955, med(spanlatch_wait)=0.015955, max(spanlatch_wait)=0.015955, avg(txnqueue_wait)=nan, med(txnqueue_wait)=nan, max(txnqueue_wait)=nan
1, total_accesses=1, bumped_read=0,failed_accesses=0.0, uncommitted_intents=0.0, newer_committed_values=0.0, avg(spanlatch_wait)=12.046736000000001, med(spanlatch_wait)=8.816808, max(spanlatch_wait)=18.734214, avg(txnqueue_wait)=nan, med(txnqueue_wait)=nan, max(txnqueue_wait)=nan
4, total_accesses=0, bumped_read=0, avg(spanlatch_wait)=nan, med(spanlatch_wait)=nan, max(spanlatch_wait)=nan, avg(txnqueue_wait)=nan, med(txnqueue_wait)=nan, max(txnqueue_wait)=nan
4, total_accesses=29, bumped_read=0,failed_accesses=0.6206896551724138, uncommitted_intents=0.5517241379310345, newer_committed_values=0.06896551724137931, avg(spanlatch_wait)=4.6591588035714295, med(spanlatch_wait)=5.3300345, max(spanlatch_wait)=19.826944, avg(txnqueue_wait)=101.56761869230766, med(txnqueue_wait)=50.687677, max(txnqueue_wait)=904.107977
4, total_accesses=44, bumped_read=0,failed_accesses=0.5909090909090909, uncommitted_intents=0.4318181818181818, newer_committed_values=0.1590909090909091, avg(spanlatch_wait)=7.741538242105263, med(spanlatch_wait)=5.841249, max(spanlatch_wait)=58.239026, avg(txnqueue_wait)=201.78167725, med(txnqueue_wait)=128.604887, max(txnqueue_wait)=498.674784
4, total_accesses=38, bumped_read=0,failed_accesses=0.631578947368421, uncommitted_intents=0.5526315789473685, newer_committed_values=0.07894736842105263, avg(spanlatch_wait)=5.496156879518072, med(spanlatch_wait)=5.104548, max(spanlatch_wait)=68.235885, avg(txnqueue_wait)=219.00425455555555, med(txnqueue_wait)=58.4383, max(txnqueue_wait)=1104.481268
4, total_accesses=46, bumped_read=0,failed_accesses=0.43478260869565216, uncommitted_intents=0.2391304347826087, newer_committed_values=0.1956521739130435, avg(spanlatch_wait)=6.8526460495867765, med(spanlatch_wait)=6.263634, max(spanlatch_wait)=97.221249, avg(txnqueue_wait)=41.38806547619048, med(txnqueue_wait)=49.633622, max(txnqueue_wait)=138.371812
4, total_accesses=32, bumped_read=0,failed_accesses=0.6875, uncommitted_intents=0.5625, newer_committed_values=0.125, avg(spanlatch_wait)=8.654251550724638, med(spanlatch_wait)=6.474908, max(spanlatch_wait)=65.448336, avg(txnqueue_wait)=159.04826117391306, med(txnqueue_wait)=51.134637, max(txnqueue_wait)=1540.093591
4, total_accesses=40, bumped_read=0,failed_accesses=0.5, uncommitted_intents=0.4, newer_committed_values=0.1, avg(spanlatch_wait)=6.480989084210526, med(spanlatch_wait)=5.745359, max(spanlatch_wait)=26.440811, avg(txnqueue_wait)=41.890083477272725, med(txnqueue_wait)=50.7207775, max(txnqueue_wait)=190.369851
4, total_accesses=17, bumped_read=0,failed_accesses=0.7058823529411765, uncommitted_intents=0.7058823529411765, newer_committed_values=0.0, avg(spanlatch_wait)=6.517674318181818, med(spanlatch_wait)=6.2338365, max(spanlatch_wait)=19.40641, avg(txnqueue_wait)=40.314809055555564, med(txnqueue_wait)=10.207073000000001, max(txnqueue_wait)=265.33831200000003
5, total_accesses=1, bumped_read=0,failed_accesses=0.0, uncommitted_intents=0.0, newer_committed_values=0.0, avg(spanlatch_wait)=11.865673999999999, med(spanlatch_wait)=8.594249, max(spanlatch_wait)=18.429217, avg(txnqueue_wait)=nan, med(txnqueue_wait)=nan, max(txnqueue_wait)=nan
5, total_accesses=0, bumped_read=0, avg(spanlatch_wait)=nan, med(spanlatch_wait)=nan, max(spanlatch_wait)=nan, avg(txnqueue_wait)=nan, med(txnqueue_wait)=nan, max(txnqueue_wait)=nan
5, total_accesses=35, bumped_read=0,failed_accesses=0.7142857142857143, uncommitted_intents=0.6, newer_committed_values=0.11428571428571428, avg(spanlatch_wait)=4.371162982758621, med(spanlatch_wait)=3.0250415000000004, max(spanlatch_wait)=18.701559, avg(txnqueue_wait)=208.1068558125, med(txnqueue_wait)=50.719904, max(txnqueue_wait)=1296.7811550000001
5, total_accesses=76, bumped_read=0,failed_accesses=0.7894736842105263, uncommitted_intents=0.6578947368421053, newer_committed_values=0.13157894736842105, avg(spanlatch_wait)=4.4914870438596495, med(spanlatch_wait)=0.048572, max(spanlatch_wait)=67.29888, avg(txnqueue_wait)=343.92766434615385, med(txnqueue_wait)=60.6459585, max(txnqueue_wait)=2872.047943
5, total_accesses=21, bumped_read=0,failed_accesses=0.5714285714285714, uncommitted_intents=0.5238095238095238, newer_committed_values=0.047619047619047616, avg(spanlatch_wait)=7.313733428571428, med(spanlatch_wait)=7.972239, max(spanlatch_wait)=25.232284, avg(txnqueue_wait)=nan, med(txnqueue_wait)=nan, max(txnqueue_wait)=nan
5, total_accesses=31, bumped_read=0,failed_accesses=0.41935483870967744, uncommitted_intents=0.2903225806451613, newer_committed_values=0.12903225806451613, avg(spanlatch_wait)=7.6142144, med(spanlatch_wait)=5.626616, max(spanlatch_wait)=98.917761, avg(txnqueue_wait)=175.64091514285718, med(txnqueue_wait)=6.446428, max(txnqueue_wait)=1082.531684
5, total_accesses=28, bumped_read=0,failed_accesses=0.6428571428571429, uncommitted_intents=0.4642857142857143, newer_committed_values=0.17857142857142858, avg(spanlatch_wait)=6.615893678571429, med(spanlatch_wait)=6.2711195, max(spanlatch_wait)=55.431186, avg(txnqueue_wait)=nan, med(txnqueue_wait)=nan, max(txnqueue_wait)=nan
5, total_accesses=31, bumped_read=0,failed_accesses=0.3548387096774194, uncommitted_intents=0.1935483870967742, newer_committed_values=0.16129032258064516, avg(spanlatch_wait)=6.361650344827586, med(spanlatch_wait)=6.285327, max(spanlatch_wait)=22.234165, avg(txnqueue_wait)=nan, med(txnqueue_wait)=nan, max(txnqueue_wait)=nan
