4, {'total_accesses': 31, 'bumped_read': 0, 'failed_accesses': 0.5483870967741935, 'uncommitted_intents': 0.41935483870967744, 'newer_committed_values': 0.12903225806451613, 'avg(spanlatch_wait)': 7.3347703157894735, 'med(spanlatch_wait)': 6.5278065000000005, 'p99(spanlatch_wait)': 43.9867965, 'avg(txnqueue_wait)': 327.37527375000002, 'med(txnqueue_wait)': 249.6771935, 'p99(txnqueue_wait)': 798.1684206799999, 'avg(latency)': 6261.9927694999997, 'med(latency)': 6138.311391, 'p99(latency)': 15235.964090929994}
5, {'total_accesses': 10, 'bumped_read': 0, 'failed_accesses': 0.4, 'uncommitted_intents': 0.4, 'newer_committed_values': 0.0, 'avg(spanlatch_wait)': 7.1589018095238108, 'med(spanlatch_wait)': 6.1721, 'p99(spanlatch_wait)': 21.4918752, 'avg(txnqueue_wait)': nan, 'med(txnqueue_wait)': nan, 'p99(txnqueue_wait)': nan, 'avg(latency)': 632.33721500000001, 'med(latency)': 632.337215, 'p99(latency)': 632.337215}
5, {'total_accesses': 19, 'bumped_read': 0, 'failed_accesses': 0.42105263157894735, 'uncommitted_intents': 0.3684210526315789, 'newer_committed_values': 0.05263157894736842, 'avg(spanlatch_wait)': 8.4266135185185185, 'med(spanlatch_wait)': 6.754377, 'p99(spanlatch_wait)': 48.25344183999992, 'avg(txnqueue_wait)': 141.21581465384617, 'med(txnqueue_wait)': 50.749575, 'p99(txnqueue_wait)': 1044.6949755, 'avg(latency)': 3388.9090191818182, 'med(latency)': 2742.54506, 'p99(latency)': 8166.199561999999}
5, {'total_accesses': 20, 'bumped_read': 0, 'failed_accesses': 0.5, 'uncommitted_intents': 0.35, 'newer_committed_values': 0.15, 'avg(spanlatch_wait)': 6.7707676346153853, 'med(spanlatch_wait)': 7.098532499999999, 'p99(spanlatch_wait)': 17.98065747, 'avg(txnqueue_wait)': 86.809375099999997, 'med(txnqueue_wait)': 17.3436565, 'p99(txnqueue_wait)': 496.8104972300001, 'avg(latency)': 5968.0421473571423, 'med(latency)': 5886.889994, 'p99(latency)': 14762.235341369997}
5, {'total_accesses': 51, 'bumped_read': 0, 'failed_accesses': 0.8431372549019608, 'uncommitted_intents': 0.7647058823529411, 'newer_committed_values': 0.0784313725490196, 'avg(spanlatch_wait)': 3.3834373095238108, 'med(spanlatch_wait)': 0.039879, 'p99(spanlatch_wait)': 16.481237410000006, 'avg(txnqueue_wait)': nan, 'med(txnqueue_wait)': nan, 'p99(txnqueue_wait)': nan, 'avg(latency)': 10849.69364025, 'med(latency)': 7772.7924905, 'p99(latency)': 25630.09805949}
5, {'total_accesses': 26, 'bumped_read': 0, 'failed_accesses': 0.4230769230769231, 'uncommitted_intents': 0.34615384615384615, 'newer_committed_values': 0.07692307692307693, 'avg(spanlatch_wait)': 9.4019088873239411, 'med(spanlatch_wait)': 7.305973, 'p99(spanlatch_wait)': 78.81312849999998, 'avg(txnqueue_wait)': 186.81379580000004, 'med(txnqueue_wait)': 51.029299, 'p99(txnqueue_wait)': 581.1302404, 'avg(latency)': 6056.3911907499996, 'med(latency)': 4251.6208815, 'p99(latency)': 14086.89104345}
5, {'total_accesses': 64, 'bumped_read': 0, 'failed_accesses': 0.8125, 'uncommitted_intents': 0.734375, 'newer_committed_values': 0.078125, 'avg(spanlatch_wait)': 3.6156281573033708, 'med(spanlatch_wait)': 0.030169, 'p99(spanlatch_wait)': 18.47315084000003, 'avg(txnqueue_wait)': nan, 'med(txnqueue_wait)': nan, 'p99(txnqueue_wait)': nan, 'avg(latency)': 5389.0180100909092, 'med(latency)': 4588.272913, 'p99(latency)': 12242.232824699999}
5, {'total_accesses': 22, 'bumped_read': 0, 'failed_accesses': 0.45454545454545453, 'uncommitted_intents': 0.4090909090909091, 'newer_committed_values': 0.045454545454545456, 'avg(spanlatch_wait)': 6.4151203749999999, 'med(spanlatch_wait)': 5.769902999999999, 'p99(spanlatch_wait)': 18.725776869999997, 'avg(txnqueue_wait)': nan, 'med(txnqueue_wait)': nan, 'p99(txnqueue_wait)': nan, 'avg(latency)': 5576.6554373529416, 'med(latency)': 6589.875849, 'p99(latency)': 12000.030803359998}
0, {'total_accesses': 29, 'bumped_read': 0, 'failed_accesses': 0.8620689655172413, 'uncommitted_intents': 0.7586206896551724, 'newer_committed_values': 0.10344827586206896, 'avg(spanlatch_wait)': 2.2233657812500001, 'med(spanlatch_wait)': 0.0248535, 'p99(spanlatch_wait)': 15.252400350000013, 'avg(txnqueue_wait)': 122.91878014285713, 'med(txnqueue_wait)': 90.210004, 'p99(txnqueue_wait)': 329.64033159999997, 'avg(latency)': 251.68919299999999, 'med(latency)': 251.689193, 'p99(latency)': 251.689193}
0, {'total_accesses': 358, 'bumped_read': 0, 'failed_accesses': 0.7597765363128491, 'uncommitted_intents': 0.6536312849162011, 'newer_committed_values': 0.10614525139664804, 'avg(spanlatch_wait)': 4.1159627556390976, 'med(spanlatch_wait)': 0.067787, 'p99(spanlatch_wait)': 19.289576059999973, 'avg(txnqueue_wait)': 125.19971959199998, 'med(txnqueue_wait)': 51.027033, 'p99(txnqueue_wait)': 1147.9689002000002, 'avg(latency)': 4555.5175407534252, 'med(latency)': 4117.631909, 'p99(latency)': 9760.069019999999}
